ota/5167.txt	The monk: a romance. In three volumes. ... [pt.2]	Lewis, M. G. (Matthew Gregory), 1775-1818.	1796	English	CC BY-SA	
ota/5166.txt	The monk: a romance. In three volumes. ... [pt.1]	Lewis, M. G. (Matthew Gregory), 1775-1818.	1796	English	CC BY-SA	
ota/5478.txt	The history of Sir George Warrington: or the political Quixote. By the author of The female Quixote. In three volumes. ... [pt.3]	Lennox, Charlotte, ca. 1729-1804.	1797	English	CC BY-SA	
ota/5477.txt	The history of Sir George Warrington: or the political Quixote. By the author of The female Quixote. In three volumes. ... [pt.2]	Lennox, Charlotte, ca. 1729-1804.	1797	English	CC BY-SA	
ota/5476.txt	The history of Sir George Warrington: or the political Quixote. By the author of The female Quixote. In three volumes. ... [pt.1]	Lennox, Charlotte, ca. 1729-1804.	1797	English	CC BY-SA	
ota/4397.txt	The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ... [pt.2]	Radcliffe, Ann Ward, 1764-1823.	1797	English	CC BY-SA	
ota/5501.txt	Arthur Mervyn; or, Memoirs of the year 1793: By the author of Wieland; and Ormond, or The secret witness. Copy-right secured.	Brown, Charles Brockden, 1771-1810.	1799	English	CC BY-SA	
ota/3065.txt	The Watsons	Austen, Jane, 1775-1817	1809	English	CC BY-SA	Novels -- Great Britain -- 19th century
ota/3064.txt	Love and friendship	Austen, Jane, 1775-1817	1809	English	CC BY-SA	Novels -- Great Britain -- 19th century
ota/4406.txt	The castle of Otranto: a story. Translated by William Marshal, Gent. from the original Italian of Onuphrio Muralto, ...	Walpole, Horace, 1717-1797.	1765 [i.e. 1764]	English	CC BY-SA	
ota/5625.txt	The fool of quality: or, the history of Henry Earl of Moreland. In four volumes. By Mr. Brooke. [pt.5]	Brooke, Henry, 1703?-1783.	1765-70.	eng	CC BY-SA	
ota/5624.txt	The fool of quality: or, the history of Henry Earl of Moreland. In four volumes. By Mr. Brooke. [pt.4]	Brooke, Henry, 1703?-1783.	1765-70.	eng	CC BY-SA	
ota/5623.txt	The fool of quality: or, the history of Henry Earl of Moreland. In four volumes. By Mr. Brooke. [pt.3]	Brooke, Henry, 1703?-1783.	1765-70.	eng	CC BY-SA	
ota/5622.txt	The fool of quality: or, the history of Henry Earl of Moreland. In four volumes. By Mr. Brooke. [pt.2]	Brooke, Henry, 1703?-1783.	1765-70.	eng	CC BY-SA	
ota/5621.txt	The fool of quality: or, the history of Henry Earl of Moreland. In four volumes. By Mr. Brooke. [pt.1]	Brooke, Henry, 1703?-1783.	1765-70.	eng	CC BY-SA	
ota/4454.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.6]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/4453.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.5]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/4452.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.4]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/4451.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.3]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/4450.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.2]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/4449.txt	The adventures of Hugh Trevor: By Thomas Holcroft. ... [pt.1]	Holcroft, Thomas, 1745-1809.	1794-97.	English	CC BY-SA	
ota/5730.txt	Treasure Island	Stevenson, Robert Louis, 1850-1894		English	CC BY-SA	Novels
ota/4536.txt	The history of Lady Barton: a novel, in letters, by Mrs. Griffith. In three volumes. ... [pt.3]					
